"envios","rank","gan_sum","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10"
9000,1,56.006,56.387,56.947,55.697,55.367,54.647,59.217,57.617,55.197,54.197,54.787
9500,1,56.03,56.817,56.177,56.547,56.107,54.837,57.827,56.657,55.657,54.667,55.007
10000,1,56.639,55.877,57.957,57.927,57.597,55.077,56.897,57.857,55.187,55.217,56.797
10500,1,56.927,55.897,58.257,57.987,58.927,54.507,56.607,58.077,56.457,55.297,57.257
11000,1,56.926,55.577,57.517,59.247,57.257,54.557,58.627,56.667,57.177,56.567,56.067
11500,1,57.238,56.877,59.147,58.617,56.277,55.877,58.677,56.347,57.737,56.627,56.197
12000,1,57.196,57.187,59.107,58.287,56.857,55.997,57.247,56.157,57.137,58.307,55.677
12500,1,56.923,56.477,58.477,58.637,55.697,56.577,57.327,56.477,55.677,58.367,55.517
13000,1,57.004,57.787,58.007,58.777,54.217,56.597,57.177,55.787,56.147,59.287,56.257
